City,Latitude,Longitude,Altitude[ft],TAS
Lisbon,38.7812995911,-9.13591957092,374,200
Paris,49.0127983093,2.54999995232,392,200
Moscow,55.40879821777344,37.90629959106445,588,200
Oslo,60.193901062012,11.100399971008,681,200
Rome,41.8002778,12.2388889,13,200
Madrid,40.471926,-3.56264,1998,200
Funchal,32.697898864746,-16.774499893188,192,200
Ponta Delgada,37.7411994934,-25.6979007721,259,200
New York,40.63980103,-73.77890015,13,200
Halifax,44.8807983398,-63.5085983276,477,200
London,51.4706,-0.461941,83,200
Lisbon,38.7812995911,-9.13591957092,374,200
